ticker;scenario;entry_date;entry_price;exit_date;exit_price;exit_reason;return_pct;max_drawdown_pct;holding_weeks;score;fib_retracement;stop_price;target_1618;target_2618;hit_target_1;hit_target_2;weeks_to_target_1;max_favorable_excursion;precio_punto0;precio_puntoC;bolsa;ratio_volumen;pct_sobre_linea;close_strength;weeks_since_c;w1_duration;w2_duration;avg_volume_w2
MPC;B;2013-12-02;30.2285;2014-12-01;32.6127;TIMEOUT;0.0789;-0.1309;52;59;0.5154;21.1438;54.084;74.4427;False;False;;0.1467;11.2783;21.1438;US;1.8159;0.3796;0.7492;8;42;28;32532792.85714286
VLO;B;2013-12-02;29.3244;2014-12-01;31.9882;TIMEOUT;0.0908;-0.0732;52;52;0.4333;20.5439;47.3851;63.9743;False;False;;0.288;11.1421;20.5439;US;1.5131;0.2395;0.7509;22;39;17;47312425.058823526
BCP.LS;C;2013-12-02;0.8785;2013-12-30;1.0476;STOP_C_P3;0.1926;0.0;4;22;0.7344;1.0476;1.1429;1.5573;True;False;3;0.378;0.3625;0.4726;LS;1.344;0.5733;0.5041;22;18;23;92435014.82608695
MPC;C;2013-12-02;30.2285;2014-12-01;32.6127;TIMEOUT;0.0789;-0.1309;52;59;0.5154;20.0866;54.084;74.4427;False;False;;0.1467;11.2783;21.1438;US;1.8159;0.3796;0.7492;8;42;28;32532792.85714286
VLO;C;2013-12-02;29.3244;2014-02-03;29.3244;STOP_C_P2;0.0;-0.032;9;52;0.4333;29.3244;47.3851;63.9743;False;False;;0.1516;11.1421;20.5439;US;1.5131;0.2395;0.7509;22;39;17;47312425.058823526
CCL;A;2013-12-16;31.8095;2014-12-15;37.6119;TIMEOUT;0.1824;-0.1311;52;58;0.6549;22.2758;40.969;50.4914;False;False;;0.1877;22.2758;25.5617;US;1.9897;0.0412;0.9399;10;48;42;22397585.714285713
CCL;B;2013-12-16;31.8095;2014-12-15;37.6119;TIMEOUT;0.1824;-0.1311;52;58;0.6549;25.5617;40.969;50.4914;False;False;;0.1877;22.2758;25.5617;US;1.9897;0.0412;0.9399;10;48;42;22397585.714285713
CCL;C;2013-12-16;31.8095;2014-12-15;37.6119;TIMEOUT;0.1824;-0.1311;52;58;0.6549;33.2462;40.969;50.4914;False;False;;0.1877;22.2758;25.5617;US;1.9897;0.0412;0.9399;10;48;42;22397585.714285713
TGS.OL;A;2014-01-06;102.8473;2015-01-05;97.7358;TIMEOUT;-0.0497;-0.161;52;79;0.6254;51.4098;203.895;280.4212;False;False;;0.2139;51.4098;80.0756;OL;2.4404;0.1604;1.0;4;78;36;2150022.722222222
TGS.OL;B;2014-01-06;102.8473;2015-01-05;97.7358;TIMEOUT;-0.0497;-0.161;52;79;0.6254;80.0756;203.895;280.4212;False;False;;0.2139;51.4098;80.0756;OL;2.4404;0.1604;1.0;4;78;36;2150022.722222222
TGS.OL;C;2014-01-06;102.8473;2014-09-01;102.8473;STOP_C_P2;0.0;-0.1071;34;79;0.6254;102.8473;203.895;280.4212;False;False;;0.2139;51.4098;80.0756;OL;2.4404;0.1604;1.0;4;78;36;2150022.722222222
EQR;A;2014-01-27;30.4123;2015-01-26;43.9918;TIMEOUT_T1;0.4465;-0.0148;52;40;0.7402;24.684;42.5587;52.0777;True;False;49;0.5103;24.684;27.157;US;1.6553;0.0184;0.9046;9;41;71;9413823.943661971
EQR;B;2014-01-27;30.4123;2015-01-26;43.9918;TIMEOUT_T1;0.4465;-0.0148;52;40;0.7402;27.157;42.5587;52.0777;True;False;49;0.5103;24.684;27.157;US;1.6553;0.0184;0.9046;9;41;71;9413823.943661971
EQR;C;2014-01-27;30.4123;2015-01-26;43.9918;TIMEOUT_T1;0.4465;-0.0148;52;40;0.7402;40.4187;42.5587;52.0777;True;False;49;0.5103;24.684;27.157;US;1.6553;0.0184;0.9046;9;41;71;9413823.943661971
CPT;A;2014-02-03;40.3703;2015-02-02;48.0873;TIMEOUT;0.1912;-0.0143;52;68;0.6763;29.3169;60.5763;76.6752;False;False;;0.2889;29.3169;34.5283;US;1.7935;0.1401;0.9891;7;85;30;3025830.0
ESS;A;2014-02-03;110.8524;2015-02-02;154.1531;TIMEOUT_T1;0.3906;-0.0188;52;79;0.5682;75.9705;152.9115;190.447;True;False;49;0.4422;75.9705;92.1792;US;2.71;0.0392;0.9429;5;88;22;1306431.8181818181
KIM;A;2014-02-03;11.6441;2015-02-02;15.4747;TIMEOUT;0.329;-0.0038;52;61;0.4805;7.3826;20.5115;26.6539;False;False;;0.419;7.3826;10.5732;US;1.4184;0.1165;0.8514;17;76;22;17766395.454545453
